AnalysisType,Method,Measure,PredictionGroup,RiskBandPercent,Count,Mean,Median,StandardDeviation,Percentile25,Percentile75,ErrorDetectionAUROC,CapturedErrors,TotalErrors,ErrorCapturePercent,CorrelationSignal,SpearmanRho,UniqueErrorsBeyondConfidenceAndViewSD,Notes,DataScope,TestStatus
Correlation,knn_k5,ReferencePercentile,,,120,,,,,,,,10,,PrimaryConfidenceMargin,-0.51296166107960706,,Average ranks; no imputation and no inferential p-value.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Correlation,knn_k5,ReferencePercentile,,,120,,,,,,,,10,,Day3StdViewProbability,0.66784181785019248,,Average ranks; no imputation and no inferential p-value.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorCapture,knn_k5,ReferencePercentile,,10,12,,,,,,,0,10,0,,,0,Exact ceil(N*band/100) validation eyes; risk score descending then EyeExamID ascending. Incremental errors are absent from the union of equally sized low-confidence and high-view-SD bands.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorCapture,knn_k5,ReferencePercentile,,20,24,,,,,,,3,10,30,,,0,Exact ceil(N*band/100) validation eyes; risk score descending then EyeExamID ascending. Incremental errors are absent from the union of equally sized low-confidence and high-view-SD bands.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorCapture,knn_k5,ReferencePercentile,,25,30,,,,,,,3,10,30,,,0,Exact ceil(N*band/100) validation eyes; risk score descending then EyeExamID ascending. Incremental errors are absent from the union of equally sized low-confidence and high-view-SD bands.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorCapture,knn_k5,ReferencePercentile,,30,36,,,,,,,6,10,60,,,0,Exact ceil(N*band/100) validation eyes; risk score descending then EyeExamID ascending. Incremental errors are absent from the union of equally sized low-confidence and high-view-SD bands.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
GroupSummary,knn_k10,Distance,Correct,,110,0.049123100190902047,0.04418544023879311,0.017516555165064413,0.03826238330007449,0.055282886741696839,,,10,,,,,"SD is population SD (ddof=0), matching the existing Day-5 convention; percentiles use NumPy linear interpolation.",TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
GroupSummary,knn_k10,Distance,Incorrect,,10,0.049058410695751467,0.0438388011232708,0.016791623312443403,0.036399926531614349,0.066290931757651494,,,10,,,,,"SD is population SD (ddof=0), matching the existing Day-5 convention; percentiles use NumPy linear interpolation.",TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
GroupSummary,knn_k10,ReferencePercentile,Correct,,110,63.82272957733494,73.195876288659804,30.508589827477373,39.046391752577321,91.355416596248091,,,10,,,,,"SD is population SD (ddof=0), matching the existing Day-5 convention; percentiles use NumPy linear interpolation.",TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
GroupSummary,knn_k10,ReferencePercentile,Incorrect,,10,87.775054926483023,93.442622950819668,14.401889250517621,84.836065573770497,97.587459861416264,,,10,,,,,"SD is population SD (ddof=0), matching the existing Day-5 convention; percentiles use NumPy linear interpolation.",TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorDetection,knn_k10,ReferencePercentile,,,120,,,,,,0.72090909090909094,,10,,,,,Incorrect Day-4 prediction is the positive outcome; higher atypicality is higher risk.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Correlation,knn_k10,ReferencePercentile,,,120,,,,,,,,10,,PrimaryConfidenceMargin,-0.55980330947572543,,Average ranks; no imputation and no inferential p-value.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Correlation,knn_k10,ReferencePercentile,,,120,,,,,,,,10,,Day3StdViewProbability,0.6836870855311542,,Average ranks; no imputation and no inferential p-value.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorCapture,knn_k10,ReferencePercentile,,10,12,,,,,,,0,10,0,,,0,Exact ceil(N*band/100) validation eyes; risk score descending then EyeExamID ascending. Incremental errors are absent from the union of equally sized low-confidence and high-view-SD bands.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorCapture,knn_k10,ReferencePercentile,,20,24,,,,,,,3,10,30,,,0,Exact ceil(N*band/100) validation eyes; risk score descending then EyeExamID ascending. Incremental errors are absent from the union of equally sized low-confidence and high-view-SD bands.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorCapture,knn_k10,ReferencePercentile,,25,30,,,,,,,6,10,60,,,0,Exact ceil(N*band/100) validation eyes; risk score descending then EyeExamID ascending. Incremental errors are absent from the union of equally sized low-confidence and high-view-SD bands.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
ErrorCapture,knn_k10,ReferencePercentile,,30,36,,,,,,,6,10,60,,,0,Exact ceil(N*band/100) validation eyes; risk score descending then EyeExamID ascending. Incremental errors are absent from the union of equally sized low-confidence and high-view-SD bands.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
RoutingStrictBenefit,c_knn,MatchedBaseComparison,,,121,,,,,,,,10,,,,,"Matched base=c; strict lower-error accepted counts=[71, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 92, 93]; strict higher-coverage error budgets=[1, 2, 3]; strict=True.",TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
RoutingStrictBenefit,c_agreement_knn,MatchedBaseComparison,,,113,,,,,,,,10,,,,,"Matched base=c_agreement; strict lower-error accepted counts=[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90]; strict higher-coverage error budgets=[1]; strict=True.",TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
RoutingStrictBenefit,c_view_sd_knn,MatchedBaseComparison,,,121,,,,,,,,10,,,,,Matched base=c_view_sd; strict lower-error accepted counts=[]; strict higher-coverage error budgets=[]; strict=False.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
RoutingStrictBenefit,c_agreement_view_sd_knn,MatchedBaseComparison,,,113,,,,,,,,10,,,,,Matched base=c_agreement_view_sd; strict lower-error accepted counts=[]; strict higher-coverage error budgets=[]; strict=False.,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
